property name ,Room Price (in BDT or any other currency),review_count,Comment about room
641. K.B. Resort," 10,121",362,
642. Ananta Burin Resort," 7,312","1,087",
643. sala rattanakosin Bangkok," 12,211",503,The breakfast
644. Novotel Bangkok Silom Road (Formerly Novotel Bangkok Fenix Silom)," 5,266","4,367",Great location and really
645. The Briza Beach Resort," 6,917","1,504","The hotel is beautiful,"
646. dusitD2 Hua Hin," 8,922",78,Well
647. Sakorn Residence & Hotel," 3,234",627,"first trip to Thailand in 6 years. Located on the tiny street 5 min walk from the pedestrian bridge over Ping river and 20 min walk from the old town, it's not in the..."
648. Holiday Inn Express Phuket Patong Beach Central," 7,053","2,046","... service mind from staff, 24 front desk service, good information feom tourist agency"
649. Best Western Phuket Ocean Resort," 4,626","1,050",
650. Q Zone Boutique," 3,359",164,"what a little Gem, owners were fab and really couldn't do more for us - even booked our onward coach tickets and ensured we got to the bus station on time. Lovely..."
651. Sukhothai Heritage Resort," 5,103",581,Northern Thailand. We had a Junior suite which was massive. The hotel offers a well priced excursion to the Sukhothai Historical  Park which is a must. The…
652. Kokotel Krabi Ao Nang," 4,053",386,We were greated by the beautiful manager Littie She was soo lovely Great way
653. Andaman Embrace Patong," 7,043","1,014",a spot to case yourself in Patong. The team are always helpful (generally speaking as the female bar staff member wearing the Jay name tag at the pool bar sorry to...
654. Good Time Sports Resort Koh Mak," 5,572",415,"and this time for two months. To me, it’s a paradise garden - you’ll live in the green, surrounded by nature sounds, and can still reach a beach by walking a few..."
655. Hotel Solo Sukhumvit 2," 3,733","1,428","We love this hotel to be 
Over
When you got the great check in it’s nothing more for the guest
Be kind 
Be loved
Be fair 
We are coming back again 
Love the most"
"656. Holiday Inn Express Bangkok Sathorn, an IHG Hotel"," 5,903",714,both soft and firm pillows (take your pick).
657. WING BED," 2,307",148,"English very well, they helped me personally when I got a little cold.  The shower is very huge, the bed is VERY huge.  Very highly recommended.  They helped me with..."
658. TR Guesthouse," 1,786",520,"perfect location if you want to stay in the main part of the city and travel into the old city / historical park by bus / scooter. 

A few bars and restaurants within..."
659. The Miracle Koh Tao," 4,160",126,always available to assist and give advice on local activities and restaurants. Beautiful well maintained and air conditioned room cleaned daily. Service…
660. Sonya Restaurant & Guesthouse," 2,683",181,guesthouse situated 5 minutes walk from klong Khong beach in Koh Lanta . It is a family business run by a  very friendly thai family . They also have a restaurant with...
"661. The Westin Siray Bay Resort & Spa, Phuket"," 13,539","2,811",a stunning view of the ocean.
662. Beyond Resort Krabi," 10,538","2,131","Very friendly hotel, rooms Very clean and spacious"
663. Chaweng Regent Beach Resort," 10,479","2,282",The
664. De Chai the Deco Chiang Mai," 12,428",200,"parents, and I had a pretty enjoyable experience. The Wi-Fi was a little iffy, as the device limit was relatively low, and we had to keep logging on and off, but that…"
665. Sensi Paradise," 9,999","1,520",The air-con had to work hard in the humidity while the bed was a bit
666. Veranda Resort Pattaya Na Jomtien - MGallery," 14,750",479,"... by the sea which was clean and well-kept, clean, modern and spacious rooms (we had"
667. Avani Ao Nang Cliff Krabi Resort," 7,054","2,926","view of the ocean and the mountains from our balcony, it's gorgeous!! Yess the infinity pool was so magical, we could see the iconic view of Ao Nang from the pool."
668. Movenpick Suriwongse Hotel Chiang Mai," 7,375","1,818",Nice hotel location right in town near the river and the markets. Good choices for food near hotel. Walking distance to the old town and the sights in the city.
669. Seaview Resort Khao Lak," 5,924","2,250","excellent, tasty breakfast, friendly staff and the pool areas are beautiful! 

The only thing they could improve on is the cleaning, it could be better...it’s not..."
670. Radisson Suites Bangkok Sukhumvit," 8,512","1,921","were excellent and veey helpdul, and hotel location was great relative to sightseeing spots and shopping malls."
671. Sukhumvit Suites Hotel," 5,264","1,106",Cozy place Not fancy but all needed requirements
672. Andaman Beach Suites Hotel," 8,945",773,"This hotel gets all the best rates in every aspect: Location, very friendly and welcoming and professional staff, especially Hana which was very very helpful, extremely"
673. Hotel Icon Bangkok," 6,726","1,081",Overall positive experience +location
674. Volve Hotel Bangkok," 12,922",121,"occasions. Rooms are lovely - comfortable, well equipped and light. The staff are extremely helpful, and their drink upon check in was the best we had anywhere. Breakfast is..."
675. The Andaman Beach Hotel Phuket Patong - SHA Extra Plus Hotel," 3,919",92,awesome sea view from 5th flor.
676. Centre Point Hotel Chidlom," 7,827",813,"This hotel is only a short walk from the BTS line and there’s loads around the hotel too.

We often walked to little markets from here and one of the most beautiful..."
677. BB Mantra Hotel," 3,657",249,"small mini bar is a lovely touch. Shower fab, air con good, balcony beautiful. 

They don't offer a breakfast option but there is a small complementarity selection of..."
678. Amaranth Suvarnabhumi Hotel," 6,170","1,870",facilities.
679. Watermill Resort," 8,934",152,"we were hoping for... pretty basic, but clean and well taken care of. The place is lush green and very cutly designed. Rooms are spacious and food is very decent…"
680. Woodlands Hotel & Resort," 6,877",673,stones throw from Terminal 21. Smaller hotel but has 2 pool's. Really good size rooms and because it's an older hotel the wall's are thicker so no noise from your...
681. Wintree City Resort," 8,155",136,breakfast buffet with a large selection of choices.
682. Riverside House Hotel," 3,281",354,We enjoyed our week stay in this motel in Chiang Mai it was a good nice clean motel with friendly staff
683. Chu Hotel," 4,240",120,
684. Elliebum Boutique Hotel," 4,487",180,but still felt traditional.
685. Thalassa Hotel," 5,525",595,Beach. Very short walk to the beach. Near the bars and nightlife. Very comfy beds and spotless room. Would highly recommend. The cost for one night was £27 Sterling...
"686. Kantary Hotel, Kabinburi"," 5,579",138,Firstly because of this hotel chain of Cape & Kantary so I’m confident in complete hotel
687. Chezzotel Pattaya," 3,492",104,"came here with my friends that came from states, we booked the room like for last minute because another hotel was cancel. We great that we find this hotel. It’s..."
688. Fern Paradise," 4,674",356,"going into the city and absolutely loved it. We wanted nature, but still close to convenience and with a pool. This was perfect. The little resort is owned and run by a..."
689. Nimman Mai Design Hotel," 3,253",395,"Our stay in Zen Japanese Style room at Nimman mai? Hotel - Nice location with reasonable price , friendly"
690. Lotus Bleu Resort & Restaurant," 4,202",90,"and I must say it’s absolutely excellent the rooms are large it’s really clean with a good pool and the food is amazing,
The staff can’t do enough and the French…"
"691. The Standard, Bangkok Mahanakhon"," 47,606",116,"The modern design, the amazing service,"
692. Hua Chang Heritage Hotel," 34,182",684,"friendly. 
Everything is clean! 
Good breakfast!
The guys at the reception even opened the door for us, when he saw me walking towards the door.

We will be..."
693. Anantara Chiang Mai Serviced Suites," 29,809",119,
694. Pullman Bangkok Grande Sukhumvit," 16,322","4,543","Great location, friendly"
695. The Beach Samui," 12,102",68,staff.
696. Crowne Plaza Phuket Panwa Beach," 10,395","1,039",spacious balcony which boasted a large sofa as well as table and chairs.
697. Aster Hotel And Residence," 4,380",271,"Love the environment ,very friendly"
698. ibis Samui Bophut," 4,501","2,124","As with many hotels in Ko Samui, the rooms closest to the beach are the ones you should book because of possible sea views and proximity to"
699. Chalala Samui Resort," 3,906",283,"much we have cancelled our other bookings so that we can stay longer !!! It's a lovely family bungalow resort with a bar, swimming pool and is set on the beach.  It..."
700. Grand 5 Hotel & Plaza Sukhumvit Bangkok," 8,223",469,great - which was a great thing as the temp was 37 degrees outside!
701. Bonny Hotel," 2,403",166,
702. Castaway Beach Resort," 4,067","1,002","give the vibe of a ""fancy backpacker"" lodge because the bungalows are basic, with no AC or hot water, with hammocks on the ground floor, in what looks like a maze of..."
703. The Beach Village," 7,813",250,Very clean Good food delivered
704. Red Planet Bangkok Surawong," 4,692",885,station and it is very convenient to travel around.
705. Diamond Cottage Resort & Spa," 4,785",907,"staff and the hotelmanager were friendly and worked hard to get our room ready. Thank You?
The woman who cleaned the room kept the room perfectly clean and..."
706. Ruk Cozy," 2,814",139,hotel. We always end up staying longer than planned as we feel very comfortable there. The room is super clean as it is cleaned every day by cleaners who seem to...
707. The Leaf Oceanside," 4,101",481,Beautiful
708. The Dawin Bangkok Hotel," 5,797",688,arrival at about 15h30 and no effort to speed it all up - waited in the 'restaurant' and filled in the time (at my expense buying something to drink). No…
709. Admiral Suites Bangkok," 5,163",696,"really helpful and friendly. Spacious rooms, central location. Loved the pool. Restaurant nice and clean, nice food. The omelette lady is so lovely Would stay again."
710. The Salil Hotel Riverside Bangkok," 16,126",78,We arrived for our honeymoon and we were warmly greeted by Mita who notified us
711. Amaravati Wellness Center," 3,182",54,"my trip. I’ve stayed in alot of places throughout Thailand, and there is such a magical energy here. On top of it being absolutely beautiful! The yoga, spa..."
712. The Sila Boutique Bed and Breakfast," 3,587",183,"a cafe with delicious food for 40-50 baht. The room was for 2. I liked everything very much. Separately, I would like to mention a very nice beautiful…"
713. iSanook Hostel," 2,367",227,"pictures with a kitchen available to use. Also has a pool and gym that you can access. Staff and volunteers are lovely. 
Some activities available that you can join in..."
714. Little Eden Bungalows & Restaurant," 1,811",282,last 10 years but my longest stay at 6 days.  This gave me the opportunity to fully experience the beauty and diversity of the lovely island of Koh Chang. Their...
715. Sugar Marina Resort," 5,700",462,"room was clean and facilities ok. Poolside hmmm they have wooden decking which is not in good repair so be careful. 
Would i stay again No, we were the only…"
716. The Bliss Ubon," 2,011",133,think.
717. Pace Residence x Coffee Bar," 2,627",87,No one was at reception and door was locked. But there was a number to call but before I finished dialling a guy turned up and checked me in. The reception area is...
718. Marvin Suites," 2,183",407,"Louis BTS......  7 eleven, street food, coffee shop are in walking distance..... Hotel is clean...   room and bathroom needs a bit of renovation but its okay..."
719. Swiss Paradise Boutique Villa," 3,932",124,"occasions and would absolutely return again. It is tucked away on a quieter street so you can unwind and relax after an eventful day in Pattaya. Hans, the owner, is…"
720. i-Style Lanta Boutique House," 2,311",106,comfortable.
721. Malisa Villa Kata," 39,846",421,"was really friendly. breakfasts are delicious. overall team made our staying there super comfy. there are a lot of shops, cafes and street food corners near hotel…"
722. Milky Bay Resort," 22,005",882,But
723. Rayong Marriott Resort & Spa," 17,673","1,131","Very well maintained property,"
724. Chaweng Noi Pool Villa," 10,522",602,"decent enough for the money.
Room is a decent size although smelt very musty on arrival but within 24 hrs that had gone. Nice little balcony area overlooking the..."
725. Lanta A&J Klong Khong Beach," 3,139",108,family who make you feel at home. The food is also the best we have eaten on this island. If you are looking for some relaxing time in a home away from home this is...
726. Dheva Mantra Resort & Spa," 13,125",538,"!!!
Great staf, Clean and good food 

Just the manager is an idiot !!! 2 days no hot water ( so can not wash ) only at the last day it worked again !   When checked..."
727. Alisea Pool Villas," 19,216",132,"our family.  The villas were well kept and nothing was too much trouble for the staff, they were always quick to help and assist.  What was lovely is that whatever..."
728. dusitD2 Khao Yai," 8,457",383,
729. Seaview Patong Hotel," 3,789","1,920",The lovely Muk checked us
730. Marrakesh Hua Hin Resort & Spa," 15,111",492,"with huge jacuzzi that fits two in the huge balcony. Comfortable rooms , staff is cooperative, breakfast was good not extravagant but decent variety. Food and…"
731. ibis Bangkok Siam," 7,476","2,015","everything tip top, Nice location and convenience."
732. Austrian Garden Hotel & Restaurant Patong," 5,233",168,"So laid back, quiet. Lovely pool and garden. Great price perfect. I will come again.

Rooms clean staff friendly. Great location.

Would recommend to anyone"
733. Classic Kameo Hotel & Serviced Apartments Ayutthaya," 5,232",475,
734. Amaya Resort," 6,275",85,"kind staff. Few minutes taxi ride to restaurants, bars and shops. Highly recommend staying here with very thoughtful and accommodating staff. Thank you"
735. Splash Beach Resort Mai Khao Phuket," 7,143",607,"to C-19 was unsure if we would get there. The management honoured our booking which was fantastic.. thank you . . 

Like a lot of hospitality in (the world..."
736. The White Cottage," 3,364",171,
737. Lohas Residences Sukhumvit," 6,385","1,009","location couldn't be better, 2 minute walk from Sukhumvit 4, staff were super friendly and efficient !"
738. Chatrium Golf Resort Soi Dao Chanthaburi," 7,822",168,"was included in the price a multi-day cycling tour.  I was only there for one night but wished I can stay there for many nights. 

This hotel is BEAUTIFUL.  The..."
739. Suneta Hostel Chiangmai," 3,259",95,"accommodation and couldn't recommend enough! Staff and facilities are outstanding! Get this booked if in the area!
Right in the centre of the city with everything's..."
740. Baan Suchadaa Lampang Resort," 3,794",97,"more. 

Check-in was a little unsettling.  There's some basic rules about meal times and ordering food to be followed - which make sense - but the staff's english..."
741. Hotel Mermaid Bangkok," 5,337",493,
742. Le Passe-Temps," 10,609",194,"Temps. Over the 8 years I lived in Thailand I have been in other places in Ao Nang and Railay - but nothing compares to this place. 
Every bungalow is a piece of art…"
743. Rich Lanna House," 4,361",224,pool that’s actually cool and refreshing(unlike the many tepid pools u encounter in SE Asia ) !!!!i enjoyed a delicious tiramisu and spent an entire  day just...
744. Ao Kao White Sand Beach Resort," 6,222",307,"to stay. The villas are tidy, comfy and well kept. They have a restaurant that offers a wide range of delicious Thai food with a huge vegetarian range. We also…"
745. Chaipura KC Resort," 3,939",156,"from? the? centre? point? pier (45? mins? Motorbike? riding)? but? its? very?tranquility atmosphere, room? size? is? specious. We? ride? the? bike? to? explore the..."
746. W Station," 4,007",128,"Have great and peaceful place , convinience to travel cause near BTS , good"
747. Raven Blue," 3,004",103,"2023 and had a fantastic stay. The rooms and service are excellent and Don is an amazing host. 
We have stayed at Raven Blue in the past and have recommended it to…"
748. Sandy House Rawai," 2,241",124,"by the super friendly staff, spotlessly clean rooms and overall relaxed environment. 5 star! Would recommend to anyone seeking a budget yet very clean and safe..."
749. VN Guesthouse & Restaurant," 1,182",528,"Although the review I read was in error about the conditions of the facilities, that the toilet was the old style,"
750. Lanta at home," 1,913",115,"and were really pleased with our stay! The staff is very kind, helpful and genuine and the rooms are clean and well equipped. We rented a scooter from the hotel which..."
751. ThaiLife Homestay Resort & Spa," 35,457",153,and Meditation Center.  Our family of 2 adults and 2 teens stayed in the Sukothani Suite in March 2023. We really enjoyed it. We wanted to be away from the cookie...
752. Summit Windmill Golf Residence," 64,384",355,"a really bad experience and a big problem with our conditioning and I had to leave late at night for the nearby Méridien.

I wanted to give it a second try .
This..."
753. Muthi Maya Forest Pool Villa Resort," 28,915",255,"resort. Do note, there are two resorts in this location, which can be a little confusing - Muthi Maya and Kiri Maya. Kiri Maya, it appears, is mostly geared towards..."
754. Novotel Bangkok on Siam Square," 18,147","5,688","with all the necessary comforts, including an electronic thermostat, an electronically controlled bathroom privacy window, and an extra-large television."
755. Royal Orchid Sheraton Hotel & Towers," 15,803","6,124",Pro Great view from our room on 22 floor Hotel was quiet Public areas were clean and tidy Amazing location of pools and bars on the river
756. The Scene Cliff View Villas," 13,923",67,"one night to get away from the hustle and bustle of Ao Nang and we weren’t disappointed. Beautiful smiles upon checkin, room smaller however well appointed and the..."
757. First Villa Beach Resort," 4,884",317,"still off the main street enough to be peaceful.  The restaurant in the resort was fantastic, and the staff treated us like they'd known us forever. 
   We will..."
758. Hallo villa," 6,670",126,daughter. The whole place is lovely and the helpful host family give you a warm welcome. It is perfect for a stay with kids and Khanom is worth a visit. I can really...
759. Arch39 Art & Craft Hotel," 6,256",275,"town.
Near the source of delicious food.
Close to major attractions.
The decoration looks sweet.
Suitable for groups of friends and family.
Included A small breakfast."
760. Pha-Thai House," 3,514",362,were always on hand with advice. Our room in the main building was clean and functional with WiFi hot water and aircon which all worked. Breakfast was good with all…
761. atta Lakeside Resort Suite," 12,515",268,bedroom and living area and the balconies are lovely with a lazing sofa and fan out there.
762. Citadines Sukhumvit 11 Bangkok," 5,043",972,"a studio apartment style, though with a little sliding door between the bedroom and living area if you wanted some privacy (though not a sound or lightproof door)."
"763. Holiday Inn Express Bangkok Siam, an IHG Hotel"," 8,583","2,137",Good location
764. Laguna Holiday Club Phuket Resort," 9,851",434,"to go. Friendly atmosphere and helpful staff, especially Jeff at the front desk. We were initially checked into a room at the far end of the resort. However, Jeff…"
765. Chaweng Noi Residence," 8,747",111,"about 300m, very pretty, very quiet and much cheaper than a luxury hotel.
I spent a week in a very comfortable apartment of about 50m² with all the amenities.
The..."
766. ISTY Hotel," 2,719",157,"comfortable and friendly, the key staff members have a very good grasp on the English language and are eager to assist with any info you need, the pool are is very nice..."
767. Nautilus Resort Adults Only," 6,234",185,in particular Thailand. But I have literally never had as pleasant an experience as I had staying at the Nautilus. It is located directly on the beach. The bungalows...
768. Red Planet Bangkok Asoke," 4,288","1,570",Easy to get in and out of the city.Took advantage of the downtown location to walk
769. Vieng Mantra Hotel," 5,706",479,"just inside the walls off the old town in Chiang Mai. We walked to all of the sights in the old town, plenty of great restaurants and bars within walking distance..."
770. Cascades Boutique Resort," 2,605",124,"walking distance of the beach, restaurants, and shops. Paul is a friendly and personable host. All of the staff are very friendly. The rooms are nicely furnished…"
771. Citadines Sukhumvit 8 Bangkok," 5,246",865,the Hotel is located close to BTS and subway for getting to central Bangkok.
772. Pinky Bungalows Resort Koh Lanta," 2,625",307,spectacular view of the ocean.
773. Baan Nilrath Hotel," 3,694",218,"have stayed before Covid hit the world.
What a Fantastic Hotel, thankfully most Staff were still employed and made us very welcome after 3 yrs
In which we couldn’t..."
774. Samsen Sam Place," 1,478",410,"local restaurants that are great price, you are only 10-15 mins walk away from khao san road yet just far enough to be able to sleep in a room away from the noise…"
775. Oakwood Suites Tiwanon Bangkok," 7,511",37,"It was a wonderful stay, great breakfast"
776. L'Alcove," 6,418",138,veranda with seating and a hammock to relax.
777. Diff Hostel," 4,206",107,"experience of staying in a hostel. I arrived late night, and I was pleasantly welcomed by the host who was extremely friendly even at that time!. During my stay the host…"
778. Gord Nuea Boutique House," 5,860",95,"for a few more days, luckily hotel had a last minute cancelation.

The place is undesirable clean, free unlimited drinking water, the monogrammed white linens..."
779. Slumber Party Khao San Party Hostel," 4,071",65,where very nice staff who treated us well. Will return back when I come to bangkok cos I loved it there. Great party as well. Good for all ages and people
780. Baanpong Lodge - Chiang Mai," 5,436",114,"than expected. Beautiful rooms with incredible beds, great ambiance in the lodge, restaurant and bar. Great location, easy to get in and out of the city. The..."
781. Phi Phi Holiday Resort," 17,376","3,184","... did Khun Jen who graciously offered us a gift), Khun Bell and Khun Mon made sure we were well fed and taken care of, Khun Supphanet made everything work well, while"
782. Khao Sok River Home Resort," 4,192",74,"was exactly what was needed! Quiet, peaceful in absolutely stunning surroundings. Staff were very friendly and helpful with arranging tours.

This is a place where…"
783. Grande Centre Point Pattaya," 22,416",186,"and let’s relax spa is very convenience. Staff were very nice and helpful. Swimming pool good and big. But there is only one coffee machine for breakfast , need to..."
784. Casuarina Shores," 27,956",104,
785. Centara Riverside Hotel Chiang Mai," 11,738","2,034",In any
786. Kirimaya Golf Resort Spa," 16,493",433,"Lots of activities to do during festive seasons ; lighting, BBQ in the yard, lavender"
"787. Holiday Inn Resort Samui Bophut Beach, an IHG Hotel"," 12,459",57,and a balcony or a terrace.
788. The Neenlawat Riverside," 2,882",79,"Will recommend to visit for Abu Dhabi Nice food for breakfast, service very"
789. Koh Jum Ocean Beach Resort," 7,282",314,"greatest places on earth to relax. The friendly staff, the great food and perfect location makes for a lovely stay. When the tide hits the swimming is perfect and if you..."
790. My Place At Surat Hotel, 650,312,"hotel. It's an older building but it's kept clean. The bed was comfortable and the street noise was minimal. The staff was friendly and helpful.

There are several..."
791. The Luna Hostel," 2,350",72,"It’s walking distance from the airport, checking in at 16hours of flying was mercifully easy"
792. BelAire Bangkok Sukhumvit," 5,852","1,968","popular tourist destination in BKK. It is situated at Soi 05 surrounded by restaurants, street food and showing complex. BTS station is a 10 mins walk. For Muslims..."
793. I love phants Lodge," 10,270",63,Food was
794. Superpro Samui," 3,988",137,"because of a recommendation from a friend, and I can now pass on that recommendation. My partner was concerned 'I' would spend our whole vacation training... 'WE' did as..."
795. Family Song Koh Lipe," 1,957",260,2 nights but extended our stay as we loved the bungalows and Koh Lipe.  The bungalow itself was spacious with en-suite bathroom with hot shower (which is not always...
796. August Hostel," 3,493",79,"centre, so most of the places you want to go to are within walking distance. The hostel is clean and the staff is really helpful, they really help you with finding..."
797. Little Sunshine Boutique Beach Resort & Spa," 6,681",195,"port.  We had a deluxe double room with a balcony and it was beautiful.  Lovely, comfortable bed, ample storage, tv, fridge, black out blinds, lovely bathroom..."
798. The Outside Inn," 1,127",127,"saywas the place was really nice,foods are serve well and super yummy, the staff are really accomodating and kind especially sir James. He serve so well with us…"
799. First Choice Suites," 2,023",290,main road - Petchakasem which is about 20 mins drive from Airport. Very cozy suite with nice long and infinity swimming pool and a house Gym. Few hundred meters away...
800. PP Insula," 4,019",395,"great, bathroom was nice, we had a small balcony."
801. iPremium Sukhumvit 81 Hotel," 1,977",84,"There are wide ranges of beyond experiences such internet conection, best location close"
802. SiRi Oriental Bangkok Hotel," 4,601",322,"clean & comfy hotel with very friendly & helpful staff's, food was delicious and the price was reasonable too. only 1 problem the air-conditioning was pointing at the..."
803. Chan Cha Lay," 1,981",418,at the back.
804. Sun Moon Star Resort Koh Phangan," 4,713",162,coconut soup on Koh Phangan! “Absolutely spot on!” my husband just said as he finished his Thai curry soup :) The lady who owns and runs this is lovely and helpful too…
805. Ayothaya Riverside House," 3,467",118,"booking platform.
Take a chance to drive in and found lovely Thai traditional home by the river with very peaceful atmosphear.
We check out the town for old city..."
806. Rai Saeng Arun," 9,587",152,"Chiang Khong and extends from the Mekong River, through rice paddies, and up a forested hill. The 14 wooden bungalows are simple and tasteful. The luxury here is in..."
807. Mad Monkey Chiang Mai," 3,312",232,"unforced vibe around the communal areas 
Shoutout to Cody: 10/10
Although don’t let him tell you he did the 10m dive last week. That’s the excuse he will use all season."
808. Blue House Sukothai," 1,994",152,"quiet gouesthouse. The furniture and decoration was pretty, matress soft, free drinking water and coffee/tea, helpful service, ... All very nice!
Just be aware that..."
809. Dozy House," 1,771",220,
810. Huen Hug Chiang Mai," 4,007",93,"Mai
2022-11-10 06:40:35
10
Exceptional

View your review

A few more questions about your stay
We would like to know if the information you found on our website accurately..."
811. Fisherman Way Beach Villa," 36,731",95,"quite garden, swimming pool in front of the beach...
On the esat cost of the island but very close to many points of interest : big bouddha, rhum distilery, beaches…"
812. Coco Cape Lanta Resort," 3,872",133,"of Koh Lanta,  Klong Dao beach a five minute walk away, with lovely accommodation offerings, a restaurant and bar. Food was great, just a few issues in the room…"
813. The Gems Mining Pool Villa Pattaya," 18,614",52,"It had great facilities,"
814. Jasmine Resort Hotel," 21,909",373,"location is excellent,just right at the Phra Khanong BTS Station. We got a very quiet room with excellent view to Bangkok. The rooms are fully equipped, the door mans…"
815. Idyllic Samui Oceanfront Resort & Villas," 13,493",117,to stay at Idyllic Samui. It is a very special place. The setting and the villas are excellent - they are maintained to a high standard and you have all the…
816. Thiw Son Beach Resort," 4,298",315,"island hoping trip around Thailand, though I wish we’d stayed longer!

Lovely small quiet little hotel with unique cabins. The pool is lovely and right on the…"
817. Pattra Vill Resort," 13,125",118,"pool. And the location was perfect for all bars, shops and restaurants. Next time we will definitely go Pattra Vill again! Thank You all so much! Greetings from..."
818. LiT BANGKOK Residence," 11,796",168,"friendly and professional. Room size (One Bed Room Suite) is good for two. Room provide kitchen utensils, microwave oven, induction cooker. Hotel location is..."
819. Eastin Thana City Golf Resort Bangkok," 5,248",174,
820. Koh Tao Cabana," 11,850",889,early February. The rooms are wonderful in a felt traditional style with a lovely bathroom in semi outdoor (definitely great to experience). The actual resort is…
821. Assava Dive Resort," 5,353",216,"organisation from Natalie at Assava was 10/10. Despite our short notice booking, she managed to accommodate our needs and was on hand to answer any questions. Again, due…"
822. North Hill City Resort," 9,997",132,Booked a royal suite with a bathtub and
823. Night Bazaar Inn," 3,206",153,beds with mosquito nets .
824. Eden Bungalows," 4,507",323,it so nice.
825. Pamookkoo Resort," 10,815",181,"... Mild, Ploy & Ae always smiling and helpful in any way!! Thanks for everything!!  The family room was amazing with a wonderful view of the hotel pool and sliders,"
826. Shanti boutique hotel," 5,205",79,"is just Amazing !!!
We stay 4 nights every day was different.
We had the suite with pool and sea view  (omg)
Difficult to leave the room .
The breakfast..."
827. Loftel 22 Hostel," 2,476",220,during my annual pilgrimage through Thailand and enjoyed it enough it was a no brainer to come back. Fantastic hostel at a very reasonable price! Incredibly tight but...
828. Smile Hua - Hin Resort," 2,369",162,"pool. Breakfast a little bit poor. Located in an aerea with many possibilities to eat and go out, not distant to the centre and beach. Who has the possibility to…"
829. The Twenty Lodge," 4,623",207,The Twenty Lodge offered us more than we expected:
830. Karon Living Room," 2,318",246,"and had fantastic air conditioning. Separate dorms and bathrooms for men and women. 
Location was good for the beach (10 mins walk) and a little bit less for the…"
831. QG Resort," 3,641",123,"over between flights. The location is a bit strange, and there is nothing within walking distance but it's only a short 15 drive from the airport. We landed too late…"
832. House of Phraya Jasaen," 3,886",169,rooms are funky and beds comfortable. You can book directly through their website with all the different rooms specs and pics. All-female are really lovely and friendly...
833. K Maison Lanna Boutique Hotel," 8,220",56,"it was for one night .. Beautiful hotel with a lovely design , the breakfast was good and the staff was professional and friendly .. i recommend you this hotel if..."
834. Elephant and Castle Bungalows," 1,878",174,perplexed. The bungalows are situated in the middle of a jungle... in a humid country... if you don't like creepy crawlies why would you come to this country let alone stay…
835. The Warehouse Chiang Mai," 3,649",84,
836. Spinomad Hostel," 2,131",68,drinks are good and delicious. Room is clean and cozy. Bathroom room is also very clean. There are a lot of facilities and restaurants around the hostel (located in…
837. The Little Pig Sukhumvit," 3,701",163,Ekkamai bus station and we needed to catch an early bus to Koh Chang island.  Our family shared a quadruple room which was very nice.  Bathrooms/showers are shared and...
838. Hub Hua Hin 57 Hotel," 3,693",201,had all the amenities I require when staying in a hotel. Very fast Wi-Fi a kettle for coffee refrigerator flat screen TV and good air conditioning. The rooms were…
839. Lanna Tree Boutique Hotel," 4,478",174,I booked a
840. Past Tense Hostel," 3,143",52,"realy like to recommend this place thanks to the great owner Kibb. She is amazing person very warm, communicative, friendly and she speaks very good English, which…"
841. The Residence Resort and Spa Retreat," 109,396",299,"restarants, supermarkets etc.; friendly service; breakfast in your room / villa or in restaurant; excellent SPA close to reception; Tuk Tuk or taxi service povided at..."
842. Lipe Beach Resort," 4,966",548,until 4th of December. Overall the stay was really nice. The staff were really friendly. We booked the bungalow with sea view with a fan no air-con for me was…
843. Phi Phi Relax Beach Resort," 6,814","1,611","escorted by the Relax team who escorted us on our long tail boat transfer to our secluded little getaway on the east side of Phi Phi, based in a
marine National..."
844. Boutique Raft Resort," 15,763",291,"can take a brake for refreshing yourselves.
Room is clean if you like wooden cottage please come to stay here.
I recommend that please try at the end of rainy..."
845. Onsen at Moncham," 19,778",74,"the room with an outdoor Onsen, and it is spacious and nicely decorated. The bedding also comfortable. The hotel offers complementary drinks and delicious snacks in…"
846. Le Piman Resort," 5,441",116,more helpful and the grounds are immaculate. Perfect for couples and a great base to explore from. If you want a chilled out time this is for you. Busy bustling...
847. Country Retreat," 3,364",80,
"848. Holiday Inn & Suites Rayong City Centre, an IHG Hotel"," 7,922",140,I stayed in a suite
849. Hotel Amber Sukhumvit 85," 2,624",699,"Nice restaurant on site, great options for breakfast, friendly check in staff, convenient location close to BTS, 24hr snack and drink options"
850. Niwas Ayutthaya," 2,765",228,"you need. They did their best to make it look like a jungle. Would recommend. And you dont need a alarmclock, cause the birds in the trees will wake you up in a..."
851. Red Ginger Chic Resort," 8,227",874,warm too which was a bonus.
852. Mercure Pattaya Ocean Resort," 7,503",911,"Positives: Great swimming pool facilities, great fun for the kids & family Excellent location (walking distance to Terminal 21 and the beach Room was great value"
853. Garden Home Kata," 4,339",185,"the first day, and we were upgraded to a poolside bungalow! The only reason 4 stars, was the shower... It was OK, but if upgraded from an electric shower to a…"
854. Eco Resort Chiang Mai," 1,739",432,
855. Loyfa Natural Resort," 5,005",437,"Loyfa is a great place to be!  A lot of choice in different kind of rooms (by the beach, with private pool, etc.) and the restaurant is great! Breakfast is fine..."
856. Indie Beach Bungalows," 4,449",105,"beautiful, private beach. This place looks like a small, tiny village all in white and  turquoise. Add a  beach restaurant and a terrace bar offering high quality…"
